genotype,environment,yield_1_0,yield_0_8,yield_0_5,yield_0_3
16540,Emerald_Wet,548.1659046,563.5790243,590.8827264,591.7316469
16541,Dalby_Dry,215.0638208,191.6309226,229.5417829,159.0580673
16541,Dalby_Wet,525.979667,522.5202646,571.6633377,529.9795406
16541,Emerald_Dry,142.1130401,120.9890858,145.495471,68.64678866
16541,Emerald_Wet,531.1194136,512.951592,518.9058032,545.0843255
16542,Dalby_Dry,267.9137919,270.1209174,271.7706095,296.5508531
16542,Dalby_Wet,515.0410083,536.4162273,499.3122874,459.3935029
16542,Emerald_Dry,217.5145197,228.0849388,237.5938206,164.5566907
16542,Emerald_Wet,487.9728438,475.3412082,490.8011389,423.7440194
16543,Dalby_Dry,269.3898096,269.2326446,259.6176707,278.4069049
16543,Dalby_Wet,493.918929,492.5252035,488.4733707,417.0617346
16543,Emerald_Dry,213.24597,235.4044871,216.719595,171.7741489
16543,Emerald_Wet,468.6248635,461.1225004,491.3067979,488.7023203
16544,Dalby_Dry,242.0299884,187.9690346,276.3408734,177.6938953
16544,Dalby_Wet,542.8514824,519.7928444,492.2443811,556.321956
16544,Emerald_Dry,171.0633828,151.3982486,134.9104156,208.9978828
16544,Emerald_Wet,525.3029416,518.2829638,501.3364657,594.6785905
16545,Dalby_Dry,138.0069918,118.6943314,135.4716333,108.0426033
16545,Dalby_Wet,494.1673077,493.9920279,510.2188917,424.5415782
16545,Emerald_Dry,104.1312664,103.6919019,85.2279586,99.18178071
16545,Emerald_Wet,521.5355281,529.9274521,526.9339884,574.8657511
16546,Dalby_Dry,254.8648682,248.3575525,311.2560194,222.9688453
16546,Dalby_Wet,534.3281763,524.931092,523.2942129,557.8061517
16546,Emerald_Dry,177.5207152,164.6213634,230.4803447,134.2190424
16546,Emerald_Wet,505.1933725,517.8266413,529.9284656,609.4422317
16547,Dalby_Dry,165.7119301,182.4833434,74.4604292,224.933363
16547,Dalby_Wet,526.383208,495.4921857,511.5483071,444.8336715
16547,Emerald_Dry,102.4394675,119.5759502,148.8346723,98.70410841
16547,Emerald_Wet,538.5118887,560.9347082,556.2416019,464.3923962
16548,Dalby_Dry,232.0230233,243.3966288,187.8116095,262.7642833
16548,Dalby_Wet,536.0691241,549.855777,550.2603175,527.993488
16548,Emerald_Dry,161.1577539,176.7463155,207.719847,230.9753535
16548,Emerald_Wet,514.6947042,536.8844051,551.4559397,532.3597774
16549,Dalby_Dry,208.1671882,227.7892771,190.4095836,342.1214711
16549,Dalby_Wet,538.1419215,534.4245595,507.9203169,559.507743
16549,Emerald_Dry,129.7611891,118.0183755,92.67605496,174.3267822
16549,Emerald_Wet,535.7114486,522.8081856,483.4066503,488.7412165
16550,Dalby_Dry,190.3638129,203.3379721,214.3584055,233.7579681
16550,Dalby_Wet,542.5111102,534.3903454,567.6622713,480.6301286
16550,Emerald_Dry,108.97697,108.0176465,123.8189402,115.9401483
16550,Emerald_Wet,575.9938945,565.8535499,562.8174224,587.0727153
16551,Dalby_Dry,155.8483428,160.5388505,177.8586517,163.6961324
16551,Dalby_Wet,499.4650356,486.9271222,542.0864217,560.1146466
16551,Emerald_Dry,103.2490078,114.2054989,31.6067059,175.4655859
16551,Emerald_Wet,525.9905511,546.5393867,515.7380967,500.9005737
16552,Dalby_Dry,155.0602681,150.7626714,120.713756,137.5280156
16552,Dalby_Wet,521.9548625,495.2810791,548.2890501,517.7575397
16552,Emerald_Dry,102.257535,92.40586247,94.71100493,11.08325205
16552,Emerald_Wet,530.3326693,541.942904,488.4856635,551.3674142
16553,Dalby_Dry,166.529403,177.1092942,175.2485467,203.2603497
16553,Dalby_Wet,512.4830993,505.5254041,498.975147,579.1107033
16553,Emerald_Dry,106.9592664,72.2775684,100.2555915,110.7669754
16553,Emerald_Wet,535.8047249,533.9606068,575.7487999,494.668084
16554,Dalby_Dry,172.1994902,163.3763918,179.2733564,147.4499569
16554,Dalby_Wet,524.747019,564.7017848,519.6227188,556.0986621
16554,Emerald_Dry,105.297003,113.5765717,132.2823864,173.9329473
16554,Emerald_Wet,542.6805736,508.315243,522.082186,541.9434423
16555,Dalby_Dry,205.1747452,179.9902401,175.5436115,214.8429851
16555,Dalby_Wet,532.5804634,526.8441365,580.4061873,529.7142245
16555,Emerald_Dry,126.2753891,120.4314044,125.4293962,169.4830836
16555,Emerald_Wet,548.5385124,550.6991237,585.1390361,491.5172856
16556,Dalby_Dry,205.4315955,232.5064218,194.8415349,204.3207426
16556,Dalby_Wet,541.8512942,550.1350755,561.7021118,613.6277078
16556,Emerald_Dry,137.0575008,113.4626633,152.9439523,259.6632404
16556,Emerald_Wet,553.424894,551.6101014,551.2360585,565.2896214
16557,Dalby_Dry,232.6674732,222.4522639,228.5075404,230.1288762
16557,Dalby_Wet,530.3831819,510.0429322,567.6196605,579.1852514
16557,Emerald_Dry,160.4944386,161.7120436,181.2738363,252.3295794
16557,Emerald_Wet,516.7788505,498.5512116,491.7588722,552.4119707
16558,Dalby_Dry,179.6781221,161.679675,148.0485056,248.2390626
16558,Dalby_Wet,524.1881147,551.4233051,516.9964983,499.5919526
16558,Emerald_Dry,107.7940867,104.4012702,38.99091571,121.5692885
16558,Emerald_Wet,533.3797803,540.3154623,525.6437088,452.3152288
16559,Dalby_Dry,199.0880603,228.204662,160.4776171,118.4969995
16559,Dalby_Wet,524.7720584,531.3750887,527.5598621,499.0682581
16559,Emerald_Dry,115.0790298,129.8870972,165.8591905,163.3565953
16559,Emerald_Wet,546.2097427,543.868546,533.1846691,465.0181202
16560,Dalby_Dry,199.7019777,233.0382787,288.8426599,209.4749261
16560,Dalby_Wet,535.7293722,498.196679,530.6534421,618.4567451
16560,Emerald_Dry,118.7076903,151.7049461,128.7360971,124.1146023
16560,Emerald_Wet,559.7380023,575.0737887,554.1452134,588.7677008
16561,Dalby_Dry,178.8152539,176.2294398,220.7116085,156.870578
16561,Dalby_Wet,523.3445611,546.3736624,564.3010346,461.3705552
16561,Emerald_Dry,104.2229373,68.1886937,85.57545935,174.5618488
16561,Emerald_Wet,555.5298718,556.0369924,521.5551864,561.2500661
16562,Dalby_Dry,197.7242502,209.2340913,171.7716638,209.1817214
16562,Dalby_Wet,534.9382083,551.7078374,582.072132,576.2150435
16562,Emerald_Dry,116.4015576,143.2415879,142.6060771,133.6379146
16562,Emerald_Wet,565.1630967,566.303469,585.2613773,482.1852293
16563,Dalby_Dry,205.4613295,214.4711469,221.3794168,174.8926445
16563,Dalby_Wet,542.4815541,540.905094,532.595418,660.8719938
16563,Emerald_Dry,131.0229308,156.2672741,100.0979285,161.750885
16563,Emerald_Wet,553.4338442,568.205712,530.5358007,560.2698117
16564,Dalby_Dry,224.3667616,199.0925464,224.7346271,130.3969769
16564,Dalby_Wet,541.7664354,576.1911884,522.1866573,543.4797605
16564,Emerald_Dry,142.1909432,112.5619857,105.4550623,148.5895924
16564,Emerald_Wet,553.9751116,576.8462548,595.7323511,579.0763907
16565,Dalby_Dry,269.6428381,248.9440374,251.9594676,169.1967518
16565,Dalby_Wet,490.3368847,498.3614701,453.4165148,449.593773
16565,Emerald_Dry,212.6020779,200.2565004,220.244542,232.0522462
16565,Emerald_Wet,466.5988381,456.6740218,553.643594,452.3530571
16566,Dalby_Dry,173.0303357,160.1676978,166.1970101,143.7438602
16566,Dalby_Wet,525.8696571,514.8610631,542.7704427,483.158565
16566,Emerald_Dry,107.9088399,114.0483043,80.20429911,120.7542805
16566,Emerald_Wet,542.3454296,513.6395399,548.6536371,640.2198123
16567,Dalby_Dry,199.240566,191.4364289,280.9047019,258.7169972
16567,Dalby_Wet,536.4937241,543.8179652,569.3606311,512.0686335
16567,Emerald_Dry,118.6866212,137.6031811,159.1237606,152.1834261
16567,Emerald_Wet,558.5003143,582.3464732,523.7802954,572.665757
16568,Dalby_Dry,243.7328585,252.3307292,245.4568221,264.1402132
16568,Dalby_Wet,535.089358,542.7604962,527.7705948,567.0097361
16568,Emerald_Dry,167.3132681,194.795313,178.2415799,209.078699
16568,Emerald_Wet,516.9400786,515.2670481,529.9293994,495.9281242
16569,Dalby_Dry,156.4527018,146.9912339,140.2400475,161.9951523
16569,Dalby_Wet,507.1662027,463.0551577,410.0276592,565.7359592
16569,Emerald_Dry,107.9268213,117.2181799,91.42344714,97.33762747
16569,Emerald_Wet,516.3117312,505.8596318,522.0193313,549.3636474
16570,Dalby_Dry,192.4938289,179.9823213,186.0659259,307.6978943
16570,Dalby_Wet,530.3907011,505.0286819,467.682608,483.2869859
16570,Emerald_Dry,116.5881658,118.6583209,84.39435172,123.1750216
16570,Emerald_Wet,540.454986,542.0512461,546.9711248,605.5127623
16571,Dalby_Dry,161.6953151,137.3189606,178.5308422,129.4883407
16571,Dalby_Wet,515.7615739,534.3891563,499.0404855,531.4598355
16571,Emerald_Dry,101.4115422,111.2664821,79.63447773,65.31254352
16571,Emerald_Wet,543.8293559,534.3621995,524.2697524,538.8509876
16572,Dalby_Dry,232.2814923,260.4691198,284.0171101,246.6001245
16572,Dalby_Wet,534.0022925,509.7841744,491.5477111,629.4145445
16572,Emerald_Dry,159.6455328,166.801462,150.8205983,213.9738837
16572,Emerald_Wet,525.7792382,498.6161325,514.7854588,503.5130089
16573,Dalby_Dry,180.5601176,162.3051418,152.0269088,309.2096885
16573,Dalby_Wet,532.0594004,550.0360582,539.271228,481.1367754
16573,Emerald_Dry,107.5572338,147.3647304,88.66541618,186.9505652
16573,Emerald_Wet,557.1033026,550.5222016,596.5719704,579.1278599
16574,Dalby_Dry,214.7169021,225.3488097,232.2259025,192.9468199
16574,Dalby_Wet,535.2041558,508.5430995,569.5133668,511.2463111
16574,Emerald_Dry,145.1388775,152.144267,108.063286,127.7202477
16574,Emerald_Wet,534.0134135,535.9400603,557.5023893,588.6108243
16575,Dalby_Dry,223.694651,241.2284142,272.568875,246.1169388
16575,Dalby_Wet,532.5876089,523.4250666,533.4409834,498.8069912
16575,Emerald_Dry,150.6422542,139.3419097,134.3280758,144.7085555
16575,Emerald_Wet,535.0149409,548.348992,537.8594047,568.8151657
16576,Dalby_Dry,193.378344,187.0203142,227.25419,81.08847156
16576,Dalby_Wet,523.0776209,531.4747989,534.1936462,593.4872284
16576,Emerald_Dry,115.6623871,107.7174536,187.8531796,104.8831119
16576,Emerald_Wet,541.3900812,541.5863396,570.0555145,523.9533532
16577,Dalby_Dry,192.473448,198.4077465,163.427927,114.471251
16577,Dalby_Wet,529.1822527,515.2795665,515.7946454,520.1808138
16577,Emerald_Dry,114.5587695,126.4663037,37.24769308,88.78091137
16577,Emerald_Wet,548.6181758,557.598777,639.0598029,501.2271171
16578,Dalby_Dry,165.4827214,153.0560736,142.6046446,158.4064786
16578,Dalby_Wet,518.0263216,529.027593,497.8661209,493.0100431
16578,Emerald_Dry,102.0513535,70.54491862,76.05828566,156.422515
16578,Emerald_Wet,546.6776364,537.8868232,585.0450618,543.5213842
16579,Dalby_Dry,180.7885153,141.6711287,211.985507,222.3123356
16579,Dalby_Wet,536.2579189,533.8070522,549.0432632,519.1750503
16579,Emerald_Dry,107.9517272,91.0335031,114.4282896,114.9975471
16579,Emerald_Wet,559.2320197,556.6049089,603.6733959,581.5524654
16580,Dalby_Dry,155.1024973,133.289917,137.3274543,134.1134214
16580,Dalby_Wet,519.2937155,501.3964858,557.2410839,607.7028159
16580,Emerald_Dry,101.1490323,87.7773209,169.2509986,118.2065733
16580,Emerald_Wet,546.6950023,555.4774586,496.292476,550.7250084
16581,Dalby_Dry,253.223506,245.5485736,226.8455134,313.8632325
16581,Dalby_Wet,535.038075,542.6703883,486.8317772,591.3607993
16581,Emerald_Dry,187.3221803,193.6080796,197.3423423,158.7535704
16581,Emerald_Wet,500.776559,494.3143512,430.7336997,515.8254776
16582,Dalby_Dry,192.1426049,165.5313898,247.1569338,235.9951748
16582,Dalby_Wet,527.1381151,527.9676069,522.1803601,482.9424691
16582,Emerald_Dry,114.3488389,147.9978629,128.5451088,142.7825255
16582,Emerald_Wet,561.4360223,565.7938965,586.2375864,523.7670684
16583,Dalby_Dry,205.3259364,213.4418844,164.8045881,221.1566392
16583,Dalby_Wet,544.8916041,544.3958361,534.3249435,514.389338
16583,Emerald_Dry,131.4349016,140.8229599,137.7343461,160.7339141
16583,Emerald_Wet,558.8410255,568.7849158,532.5047259,484.4712229
16584,Dalby_Dry,154.7731087,126.6753721,134.1127441,152.2014083
16584,Dalby_Wet,506.7527316,533.3596619,524.0754049,598.255366
16584,Emerald_Dry,100.4273188,55.96989853,82.40353812,142.9075418
16584,Emerald_Wet,519.8489305,486.1614637,525.7556107,463.2293005
16585,Dalby_Dry,163.0687969,192.6271394,160.7386492,150.4588805
16585,Dalby_Wet,515.5369086,509.0690282,565.4290241,545.8748323
16585,Emerald_Dry,106.1479023,105.7307119,159.0863737,212.0893831
16585,Emerald_Wet,525.3221338,510.6706484,544.3282196,535.790813
16586,Dalby_Dry,154.9993565,122.502792,173.0423653,171.2997765
16586,Dalby_Wet,505.6884521,515.4027082,497.7019782,552.1360024
16586,Emerald_Dry,101.7830858,84.88952475,123.542697,56.76309266
16586,Emerald_Wet,538.0892905,548.3136359,575.9814772,424.7244426
16587,Dalby_Dry,197.7367999,209.4586004,196.3435964,146.7380301
16587,Dalby_Wet,538.5774494,532.9736864,540.3869964,510.3683223
16587,Emerald_Dry,116.6583699,128.5352571,81.85172443,113.4276873
16587,Emerald_Wet,562.9142511,546.2282278,520.150204,527.8476561
16588,Dalby_Dry,185.1388892,156.7179655,168.1975591,197.6325566
16588,Dalby_Wet,532.2296038,534.6877805,468.9034351,541.0620323
16588,Emerald_Dry,110.7528664,104.3932352,83.95071812,89.82899578
16588,Emerald_Wet,553.9945047,528.2420948,575.0071013,499.8176294
16589,Dalby_Dry,154.4318001,174.5927169,176.0164154,173.8753289
16589,Dalby_Wet,504.5103497,511.415263,502.8659743,484.3342013
16589,Emerald_Dry,101.1849116,110.5920785,86.03294318,66.37695512
16589,Emerald_Wet,529.513268,555.334594,557.2661999,461.7911068
16590,Dalby_Dry,191.7416674,174.4315842,186.6900074,301.5003885
16590,Dalby_Wet,542.7946263,538.4440657,500.4076531,477.0783908
16590,Emerald_Dry,109.4216734,116.2821237,109.1608162,175.6954535
16590,Emerald_Wet,570.8472821,565.8331304,603.3152462,618.3486781
16591,Dalby_Dry,193.4522904,185.8687235,205.2922939,198.0246255
16591,Dalby_Wet,527.2488993,515.5933743,477.3712751,521.0185058
16591,Emerald_Dry,116.3839649,103.2058499,125.645957,109.4265579
16591,Emerald_Wet,549.8702882,579.8858947,475.5980434,536.2420547
16592,Dalby_Dry,197.6050601,218.7530005,142.5469799,290.8028178
16592,Dalby_Wet,532.5504199,511.8409051,530.7629278,611.8456916
16592,Emerald_Dry,116.1712184,116.1531005,144.4358303,192.797302
16592,Emerald_Wet,559.5497,550.5406704,554.0149906,562.9371282
16593,Dalby_Dry,223.7387636,202.6891361,209.4181435,242.1776947
16593,Dalby_Wet,534.8511235,531.7488811,545.6528385,552.1137737
16593,Emerald_Dry,144.1548373,142.4233264,108.4784248,146.92966
16593,Emerald_Wet,547.275832,524.1613716,503.0261285,548.3023215
16594,Dalby_Dry,200.2755894,195.5077181,199.0977392,153.7377045
16594,Dalby_Wet,533.8770084,540.972976,526.4615758,477.6001858
16594,Emerald_Dry,123.8736539,116.4452846,121.0669581,132.6744544
16594,Emerald_Wet,554.2001389,551.1408639,558.8080517,682.1392342
16595,Dalby_Dry,182.4312008,174.6650689,133.8220935,189.5093146
16595,Dalby_Wet,527.3837584,511.499475,508.2339906,534.4842306
16595,Emerald_Dry,116.0579124,104.2101811,154.3817935,71.52852314
16595,Emerald_Wet,535.1409436,539.5740292,535.1613379,578.1755376
16596,Dalby_Dry,184.7053881,187.437688,185.6555311,195.6009127
16596,Dalby_Wet,532.3004822,554.0300037,515.2612363,569.8396513
16596,Emerald_Dry,106.8219126,103.0724578,127.953517,54.07545215
16596,Emerald_Wet,555.7221882,559.0894733,540.394685,571.1440682
16597,Dalby_Dry,166.2328831,157.0372255,214.4711608,165.2215667
16597,Dalby_Wet,526.1362058,527.3217975,543.1194146,566.3361455
16597,Emerald_Dry,100.519281,112.7168516,117.090441,133.5719061
16597,Emerald_Wet,564.4833413,555.33304,456.4777789,507.5875025
16598,Dalby_Dry,186.0630766,179.8042123,157.5854259,134.8927761
16598,Dalby_Wet,531.3256571,539.4332699,513.5693452,545.3984876
16598,Emerald_Dry,115.988839,113.4739327,93.91553925,41.08961504
16598,Emerald_Wet,543.8165667,552.7984557,521.5805296,542.0985817
16599,Dalby_Dry,244.9376042,241.9532868,223.2560475,261.6968804
16599,Dalby_Wet,540.164806,535.2290317,540.8462475,511.6786709
16599,Emerald_Dry,176.1914297,187.9632144,123.3914759,150.620763
16599,Emerald_Wet,510.6685926,491.1025111,565.3875535,578.9372123
16600,Dalby_Dry,199.4739066,164.8547892,156.2816723,227.1851972
16600,Dalby_Wet,522.2148439,529.1747404,494.8382998,530.6841199
16600,Emerald_Dry,120.5866899,126.4756188,156.9528535,28.58487399
16600,Emerald_Wet,544.1651689,528.8144247,545.5944059,554.0841679
16601,Dalby_Dry,225.7751434,207.7118028,232.7340639,296.2410323
16601,Dalby_Wet,526.1260889,536.1913385,512.8243542,603.1700189
16601,Emerald_Dry,158.4841911,167.1150513,127.7619509,170.4605999
16601,Emerald_Wet,512.466152,518.9458887,475.5863629,461.3454962
16602,Dalby_Dry,132.206023,125.9954095,142.7012203,116.2950052
16602,Dalby_Wet,494.5518592,468.7437769,503.0256089,447.3528388
16602,Emerald_Dry,105.3502296,109.1162771,132.504872,172.0372662
16602,Emerald_Wet,524.4404238,505.9221386,517.8643173,535.1769626
16603,Dalby_Dry,179.7738714,198.1940486,135.2478837,195.2497655
16603,Dalby_Wet,533.7289376,536.8326655,562.3196616,638.520095
16603,Emerald_Dry,106.0022733,94.77426576,126.4857321,88.09813504
16603,Emerald_Wet,561.6550077,525.3560923,570.8437524,569.806518
16604,Dalby_Dry,172.4471977,162.9304225,171.4366551,88.31067644
16604,Dalby_Wet,514.4718117,500.6926644,513.8145891,516.4528494
16604,Emerald_Dry,108.2771953,92.66959219,145.8838422,106.3922423
16604,Emerald_Wet,521.1111163,540.9655489,515.4610251,523.258207
16605,Dalby_Dry,221.3601236,201.8123594,248.1100009,228.8929867
16605,Dalby_Wet,544.8197218,563.4714461,494.0703751,422.35208
16605,Emerald_Dry,148.0881033,173.607048,89.71466243,91.03814602
16605,Emerald_Wet,543.3978934,523.0514519,479.712915,427.2610726
16606,Dalby_Dry,179.7315421,187.0617357,208.0941999,229.8275871
16606,Dalby_Wet,532.5484146,531.6773545,559.9512134,609.6343979
16606,Emerald_Dry,105.7043954,114.194612,119.2032958,19.02007539
16606,Emerald_Wet,558.1989533,570.9942913,551.7978434,522.5692981
16607,Dalby_Dry,192.1254684,185.7556622,223.3301981,180.0135865
16607,Dalby_Wet,533.1980162,534.9144843,579.476757,595.5180886
16607,Emerald_Dry,111.6354021,113.1139288,121.7198901,159.5068696
16607,Emerald_Wet,550.4920521,570.0238303,551.6253668,481.5457115
16608,Dalby_Dry,213.4177738,211.2923042,217.9612146,255.2787807
16608,Dalby_Wet,541.1569857,535.3983158,500.3235664,631.068627
16608,Emerald_Dry,141.8359392,163.1788826,148.2810064,148.4779282
